price,area,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
5600000,1350,3,3,,Under Construction,New Property,,,2,Flat
8800000,1490,3,3,,Ready to Move,New Property,,Semi-Furnished,2,Flat
16500000,2385,4,5,,Ready to Move,New Property,1,Unfurnished,,Flat
3810000,1050,2,2,3,,New Property,1,Unfurnished,2,Flat
6200000,1350,2,2,3,Ready to Move,Resale,1,,3,Flat
3700000,1150,2,2,3,Ready to Move,New Property,,,,Flat
3270000,890,2,2,3,Ready to Move,Resale,1,,2,Flat
3990000,850,2,2,1,Ready to Move,Resale,1,,,Flat
3500000,960,2,2,2,Ready to Move,Resale,,,,Flat
5500000,1400,3,3,4,Ready to Move,Resale,1,,2,Flat
7300000,850,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Flat
7700000,1250,2,2,2,Ready to Move,Resale,,,,Flat
10500000,1615,3,3,3,Ready to Move,Resale,,Unfurnished,,Flat
7200000,1200,2,2,3,Ready to Move,Resale,,,,Flat
7000000,1690,3,3,,Ready to Move,Resale,,,,Flat
9500000,1000,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Individual House
15000000,1450,4,3,1,Ready to Move,New Property,2,Semi-Furnished,1,Individual House
4800000,1175,2,2,,Ready to Move,Resale,,,,Flat
5100000,1087,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Flat
14000000,1845,3,3,3,,Resale,2,Semi-Furnished,2,Flat
6250000,1400,2,2,2,Ready to Move,New Property,,,,Flat
8700000,1600,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
13000000,1950,3,3,2,Ready to Move,Resale,,,,Individual House
15000000,1800,2,3,1,Ready to Move,New Property,,,,Flat
5500000,1440,3,2,5,Ready to Move,Resale,1,,2,Flat
4200000,1040,2,2,3,Ready to Move,Resale,2,,3,Flat
3900000,1025,2,2,3,Ready to Move,Resale,1,,2,Flat
10000000,1836,3,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House
7600000,1350,3,2,4,Ready to Move,Resale,1,,3,Flat
3900000,800,2,2,1,Ready to Move,Resale,,,2,Flat
9000000,1481,2,2,2,Ready to Move,Resale,2,Unfurnished,2,Flat
8350000,1398,2,2,2,Ready to Move,Resale,1,,3,Flat
13500000,2150,3,3,4,Ready to Move,Resale,1,,,Individual House
5310000,1100,3,2,,Ready to Move,Resale,,Furnished,,Flat
15000000,1960,3,3,,,Resale,,Semi-Furnished,,Flat
17500000,2450,3,3,3,Ready to Move,New Property,2,,2,Flat
5000000,1000,2,2,3,Ready to Move,Resale,1,,2,Flat
3500000,850,2,2,1,Ready to Move,Resale,,Furnished,,Flat
4550000,950,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Flat
4000000,700,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
3500000,750,2,2,2,Ready to Move,Resale,,Semi-Furnished,0,Flat
3500000,950,2,2,1,Ready to Move,Resale,1,,1,Individual House
2400000,540,2,2,1,Ready to Move,New Property,,Semi-Furnished,0,Flat
80000000,5571,5,5,3,Ready to Move,Resale,4,,2,Individual House
9500000,1200,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
10500000,1020,2,2,2,Ready to Move,Resale,,,,Flat
7500000,1505,2,2,2,Ready to Move,Resale,1,,2,Flat
4800000,1232,6,3,2,Ready to Move,Resale,,Unfurnished,,Flat
5600000,929,2,2,1,Ready to Move,Resale,,,,Flat
8500000,1350,3,3,,Ready to Move,Resale,,,,Flat
4700000,1085,2,2,2,Ready to Move,Resale,,,,Flat
8500000,1790,3,3,,Ready to Move,Resale,,,,Flat
10000000,1689,3,3,4,Ready to Move,New Property,1,Semi-Furnished,3,Flat
18000000,2411,3,3,3,Ready to Move,Resale,2,,2,Flat
12400000,1650,3,2,2,Ready to Move,Resale,2,,0,Flat
